threat,description,mitigation_in_this_study,residual_risk
Pair-level leakage,"Random pair splits let the same drug appear in training and test, so a model can score by recognising drugs rather than generalising.","Split by drug, not pair. Leakage auditor verifies train/test drug sets are disjoint. S3 subset reported separately.","Drug-disjoint does not prevent a test drug sharing a Bemis-Murcko scaffold with a training drug; scaffold-disjoint was not evaluated."
DDI edges leaking into features,"If known interactions entered the biological representation, the model would see its own labels.","biology.py never opens ddi_positive_labels.parquet and never reads a split assignment. Zero DDI edges in the biological branch.",None identified. The guarantee is structural rather than procedural.
Degree shortcut in negatives,"Uniform negative sampling lets a model score by asking whether both drugs are promiscuous.",Degree-matched negative sampling; degree computed from training pairs only.,"Degree matching is an assumption; a different scheme defines a different task. Lower reported numbers are the intended cost."
Annotation popularity confound,"Well-studied drugs have more annotations and more documented interactions, so a biological gain may reflect study intensity.","CONTROL A (count-only RF, 0.6504) and CONTROL F (degree-preserving identity shuffle, 0.6923) both fall far below M4 (0.8117).","Controls address the count dimension. They do not exclude that annotation identity is itself distributed non-randomly with respect to study intensity."
Imperfect randomisation in CONTROL F,"A shuffle that leaves structure intact would understate the identity effect.","Stratified degree-preserving double-edge swap; 97.47% of edges changed; both degree sequences preserved exactly; stricter than the preregistered uniform resampling.","2,255 edges (2.53%) retained unchanged; protein-to-pathway edges not shuffled at all."
Test-set reuse,Repeated test evaluation inflates apparent performance.,"Hyperparameters selected on validation across 96 runs; test opened once; frozen config file records that the test set was not used for selection.","Ablations and controls were evaluated on the same frozen test set; Holm correction across five hypotheses addresses multiplicity for the preregistered comparisons only."
Multiple comparisons,Five hypotheses on one test set inflate the chance of a false positive.,"Holm-Bonferroni across all five preregistered hypotheses, including the exploratory H5, which makes the correction stricter for the four confirmatory ones.","Post-hoc analyses (ablation ladder shape, modality reliance) are not corrected and are labelled post-hoc."
Small seed count,Five seeds give limited power and cannot support a normality check.,"Paired tests by seed; effect sizes reported; bootstrap over test pairs for H1 and H3 as an independent check.","n=5 cannot verify the t-test's distributional assumption. Seeds vary training stochasticity only, not the split or drug universe."
Selection on a single split,Results may be specific to one partition of drugs.,"Split seed fixed and preregistered; five model seeds on that split.","No cross-split replication was performed. Reported SDs do not estimate variability across drug universes."
Missing negatives in the source,"About 86.8% of the pair space is unlabelled, not negative, so some sampled negatives are undocumented true interactions.","Stated explicitly; negative generation treated as a first-class methodological choice with its own module and tests.","Magnitude of label noise is unknown and depresses apparent performance by an unquantified amount."
Non-representative drug universe,"1,705 TDC-selected drugs are a subset of DrugBank's ~15,000, chosen by unknown upstream criteria.",Stated explicitly in Methods and Limitations; no claim of representativeness.,Conclusions may not transfer to the full DrugBank universe or to other interaction resources.
Interpretability mistaken for mechanism,Perturbation attribution can be read as causal pharmacology.,"Terminology fixed as model reliance; explicit statement that perturbations do not establish causal mechanisms; frozen output carries its own interpretation rule.","Readers may still over-read attribution results; the risk is mitigated by wording, not eliminated."
CONTROL E non-identifiability,"A probe whose held-out target has zero variance yields an undefined R^2 that could be misread as evidence of absence.","Verified directly that held-out target variance is exactly 0; reported as undefined; r2_test=0.0 identified as a placeholder.","The planned diagnostic provides no held-out evidence at all. CONTROL F carries the load instead."
Overconfident probabilities,Raw neural probabilities are poorly calibrated and could be over-interpreted.,"Temperature scaling fitted on validation only; ECE reduced roughly threefold; ranking unchanged by construction.","Calibrated probabilities remain research predictions with no clinical validation."
Post-hoc explanation of the ablation shape,"Explaining why M2 beats M4 after seeing the result risks storytelling.","The shape of the ladder was not preregistered; all explanations are explicitly labelled post-hoc and offered as hypotheses for future work.",Explanations remain untested.
