manuscript_claim,claim_type,supporting_artifact,supporting_lines_or_fields,supporting_reference,confirmatory_or_exploratory,strength_of_evidence,caveat
"BIO-GINE M4 reached 0.8117 +/- 0.0097 AUPRC on pooled drug-disjoint test",empirical,reports/v2_final/v2_final_test.csv,"test_auprc, 5 rows (seeds 0-4); mean/SD recomputed ddof=1",,confirmatory,Strong,"One split, five seeds; SD reflects training stochasticity only."
"BIO-GINE M4 reached 0.7372 +/- 0.0153 AUPRC on S3",empirical,reports/v2_final/v2_final_s3_posthoc.csv,"s3_auprc, 5 rows",,confirmatory,Strong,"S3 n=7,758; an experimental condition, not clinical novelty."
"Aligned molecular GINE reached 0.7784 +/- 0.0059 pooled and 0.7145 +/- 0.0065 on S3",empirical,reports/v2_baselines/m0_test_s3.csv,"test_auprc, s3_auprc, 5 rows",,confirmatory,Strong,Same split and negatives as M4; comparison is paired.
"Aligned Dual reached 0.7147 +/- 0.0067 pooled and 0.6198 +/- 0.0278 on S3",empirical,reports/v2_aligned_ensemble.csv,"architecture=dual; auprc by test_view in {pooled,S3}; 5 member_seeds",,confirmatory,Strong,"Dual is one instantiation of the transductive family, not all such methods."
"H-V2-1: biology improves over molecular-only, delta +0.0333, Holm p 1.98e-04, dz 7.72",statistical,reports/v2_statistics/final_h1_h5_holm.csv,"row H-V2-1: delta_mean, ci95_low/high, paired_t, paired_p, holm_adjusted_p, cohen_dz",holm1979,confirmatory,Strong,"n=5 paired t; normality unverifiable at this sample size. Both preregistered conditions (p<0.05, d>0.5) met."
"H-V2-2: M4 exceeds Dual on S3 by +0.1175, Holm p 6.56e-04, dz 5.14",statistical,reports/v2_statistics/final_h1_h5_holm.csv,row H-V2-2,holm1979,confirmatory,Strong,S3 subset is smaller (7758 pairs) so seed variance is higher.
"H-V2-3: true biology exceeds degree-preserving shuffled biology by +0.1195, Holm p 1.83e-04, dz 8.48",statistical,"reports/v2_statistics/final_h1_h5_holm.csv; reports/v2_ablations/test_frozen.csv","row H-V2-3; ablation=M4 biology_source=shuffled",,confirmatory,Strong,"Shuffle retained 2.53% of edges unchanged; protein-pathway edges unshuffled."
"H-V2-4: M4 exceeds annotation-count-only RF by +0.1613, Holm p 1.67e-05, dz 16.34",statistical,"reports/v2_statistics/final_h1_h5_holm.csv; reports/v2_bio_controls/biological_degree_rf_test.csv",row H-V2-4; test_auprc 5 rows,,confirmatory,Strong,"RF SD is 0.0006 because a forest on 8 scalars is near-deterministic."
"H-V2-5: pathway-coverage contrast -0.0233, p 0.157, direction unsupported",statistical,"reports/v2_statistics/h5_pathway_coverage.csv; final_h1_h5_holm.csv","delta_covered, delta_uncovered, contrast; 5 rows",,exploratory,Weak,"Preregistered as exploratory with no significance threshold. Uncovered subgroup only 5,527 pairs; wide CI; low power. Not a failed confirmatory hypothesis."
"Bootstrap corroborates H1 and H3 on seed 0",statistical,reports/v2_statistics/bootstrap_h1_h3_seed0.csv,"observed_delta, bootstrap_ci95_low/high, bootstrap_fraction_le_zero=0.0",,confirmatory,Moderate,"Single seed; resamples test pairs, not seeds, so it addresses a different source of variability."
"Holm correction applied across five preregistered hypotheses including exploratory H5",methodological,reports/v2_statistics/final_h1_h5_holm.csv,"holm_adjusted_p values consistent with m=5 (smallest raw p x 5)",holm1979,confirmatory,Strong,"Including H5 makes the correction stricter for the four confirmatory hypotheses."
"Ablation ladder is non-monotonic; M2 is the best variant, not the primary M4",empirical,reports/v2_ablations/test_frozen.csv,"ablation in {M1,M2,M3}, aggregation=mean, biology_source=true; 5 seeds each",,confirmatory,Strong,"Explanations for the shape were not preregistered and are post-hoc."
"CONTROL C (SUM) outperformed the primary MEAN model on both views",empirical,reports/v2_ablations/test_frozen.csv,"ablation=M4, aggregation=sum: 0.8265 pooled, 0.7485 S3",xu2019gin,confirmatory,Strong,"Preregistration fixed the reading in advance: if SUM wins, counting was the signal. Must be read alongside CONTROL F."
"The primary configuration was fixed on validation before test evaluation",methodological,reports/v2_grid/FROZEN_SELECTED_CONFIG.txt,"config_id=e8ece7c41ae09e5f; selection criterion text; 'Test set was not used for hyperparameter selection.'",,confirmatory,Strong,"Attested by a frozen file written before test evaluation, not by an external audit."
"Hyperparameters were selected over 32 configurations x 3 seeds = 96 validation runs",methodological,reports/v2_grid/v2_validation_grid_96_COMPLETE_BACKUP.csv,"96 rows; 32 unique config_id; seeds 0-2",,confirmatory,Strong,"The 8x3 fractional-replicate amendment on a working branch was NOT used and must not be cited."
"Training budget was denominated in optimizer steps to remove batch-size confounds",methodological,configs/v2_budget_frozen.yaml,"max_optimizer_steps 21960; validation_interval_steps 366; patience 30; equivalences block",,confirmatory,Strong,Preregistration amendment recorded separately from the original.
"Temperature scaling was fitted on validation only and improved calibration ~3x",empirical,reports/v2_calibration/m4_temperature_scaling.csv,"temperature, val_n=93610, test_ece15_raw vs test_ece15_scaled, test_brier_raw vs scaled",guo2017calibration,confirmatory,Strong,Calibrated probabilities are research outputs with no clinical validation.
"Temperature scaling left ranking unchanged",empirical,reports/v2_calibration/m4_temperature_scaling.csv,"test_auprc_raw vs test_auprc_scaled differ in the 7th decimal",guo2017calibration,confirmatory,Strong,"Expected by construction; used here as an internal consistency check, not a finding."
"Model relies most on protein annotation, then molecular structure, then pathways",empirical,reports/v2_interpretability/seed0_modality_contribution.csv,"mean abs_protein_delta 0.313, abs_molecular_delta 0.192, abs_pathway_delta 0.107 over 84,690 rows",,exploratory,Moderate,"Seed 0 only; post-hoc; measures model reliance, not mechanism."
"Reliance on individual proteins is sparse and concentrated",empirical,reports/v2_interpretability/seed0_leave_one_protein_out.csv,"4,031 ablations; mean |delta| 0.000274; median 0; max 0.985",,exploratory,Moderate,"Restricted to the top 20 pairs; seed 0 only."
